Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.5859,Mon Jun 25 18:03:04 +0000 2018,0.696,0.0,0.304,✨ These women are ditching their straighteners and embracing their natural hair. https://t.co/BTgEiHth2E,32,@BBC
0.0,Mon Jun 25 17:31:08 +0000 2018,1.0,0.0,0.0,Two teams of junior doctors from teaching hospitals around Britain go head to head in a medical-themed quiz show. 🏥… https://t.co/1z99Ax1RcK,33,@BBC
0.2732,Mon Jun 25 16:02:03 +0000 2018,0.769,0.0,0.231,"🙌😂 Well, that escalated quickly.
#HearHer #LiveAtTheApollo  https://t.co/4Bfa81zCSI",34,@BBC
-0.5524,Mon Jun 25 15:01:34 +0000 2018,0.771,0.229,0.0,RT @BBCTwo: SO much tension between Louis and the Queen! 😬👑🇫🇷 #Versailles https://t.co/mT2tDG3Hen,35,@BBC
0.3182,Mon Jun 25 14:57:32 +0000 2018,0.839,0.0,0.161,RT @BBCTwo: brb just gonna pop inside for some fresh air... ☀️😰 https://t.co/rlTBirEDF2,36,@BBC
0.5423,Mon Jun 25 13:48:41 +0000 2018,0.842,0.0,0.158,"RT @bbcarts: If you’re from the North this will make you well up with pride. ❤️
@lemnsissay delivers an impassioned reading of the poem he…",37,@BBC
0.636,Mon Jun 25 13:03:07 +0000 2018,0.656,0.0,0.344,"🐶😍 They're all beautiful in our eyes! 
#WorldsUgliestDog https://t.co/qrQgVqtwt4",38,@BBC
0.5719,Mon Jun 25 12:04:05 +0000 2018,0.802,0.0,0.198,🙌💪 @ChelseaClinton says it's time we rethink gender stereotypes and work harder to celebrate women. https://t.co/xgejAk33oK,39,@BBC
0.34,Mon Jun 25 11:01:03 +0000 2018,0.741,0.104,0.156,"📖✨🌲 From the Forbidden Forest at Hogwarts to Pooh's Hundred Acre Wood, here are six magical forests we love from ch… https://t.co/hCU6am8R3o",40,@BBC
0.0,Mon Jun 25 10:12:49 +0000 2018,1.0,0.0,0.0,"🌋 Lava from Hawaii's Kilauea volcano creeps closer to more homes. 
 https://t.co/NfFXiwtVy7",41,@BBC
-0.4215,Mon Jun 25 08:03:05 +0000 2018,0.872,0.128,0.0,This headteacher is budgeting to buy hygiene products for pupils as she's found some parents are struggling to affo… https://t.co/Bm4PrQ8ucC,42,@BBC
0.0,Mon Jun 25 07:26:06 +0000 2018,1.0,0.0,0.0,"🤖 What does it mean for AI to have a soul?
👉 https://t.co/OkxIzH9cA2 https://t.co/XcEYkoIbst",43,@BBC
-0.6486,Mon Jun 25 07:00:13 +0000 2018,0.699,0.301,0.0,Should we bring the woolly mammoth back from the dead? https://t.co/PASQyyoCXW,44,@BBC
0.0,Sun Jun 24 19:03:02 +0000 2018,1.0,0.0,0.0,"Follow the inner workings of @nytimes, one of the most prolific American media outlets, during the first 12 months… https://t.co/sTcKSPw5QW",45,@BBC
-0.5574,Sun Jun 24 18:32:03 +0000 2018,0.847,0.153,0.0,🚗 🇸🇦 Women in Saudi Arabia are hitting the road as the country's ban on women driving officially ends. https://t.co/RLv1njCk5t,46,@BBC
0.5994,Sun Jun 24 18:10:27 +0000 2018,0.755,0.0,0.245,"RT @BBCWthrWatchers: Beautiful ""night shining"" clouds, captured by our Weather Watchers #NoctilucentClouds https://t.co/FE9F3YQ3Kd",47,@BBC
-0.5267,Sun Jun 24 18:04:04 +0000 2018,0.805,0.195,0.0,"This. Will. Hurt.

@IdrisElba returns as the inimitable DCI #Luther. Coming soon to @BBCOne. https://t.co/AOmhtLjldy",48,@BBC
0.6705,Sun Jun 24 17:08:05 +0000 2018,0.658,0.078,0.263,"43% of female festival goers under 40 say they've faced unwanted sexual behaviour at a music festival, a new survey… https://t.co/Wd5gcaHCgH",49,@BBC
0.0,Sun Jun 24 16:02:06 +0000 2018,0.787,0.106,0.106,"Imagine waking up one morning and you've lost the ability to speak or move your hands.
(via @BBCThree) https://t.co/M8IJVGSoE7",50,@BBC
0.0,Sun Jun 24 15:18:03 +0000 2018,1.0,0.0,0.0,"In the aftermath of Hurricane Maria, Michelin-starred @chefjoseandres managed to feed more Puerto Ricans than any g… https://t.co/HHjrHbsIb8",51,@BBC
0.5859,Sun Jun 24 14:29:47 +0000 2018,0.888,0.0,0.112,"RT @BBCMOTD: #ENG win 6-1 ✅
On a Sunday ✅
In the Sun ✅

Live scenes across England right now ☀🎉

#ENGPAN https://t.co/pOqaVykdHG",52,@BBC
0.0,Sun Jun 24 14:20:08 +0000 2018,1.0,0.0,0.0,"❤️💍 Game of Thrones stars, Rose Leslie and Kit Harington have tied the knot at a ceremony in Aberdeenshire.
👉… https://t.co/VzvDpNHgRO",53,@BBC
-0.4215,Sun Jun 24 13:03:02 +0000 2018,0.865,0.135,0.0,"💔🦍 Koko the gorilla sadly passed away this week, aged 46.

This is the story of her life. https://t.co/rIRb7mHpJx",54,@BBC
0.0,Sun Jun 24 12:02:03 +0000 2018,1.0,0.0,0.0,🐛 Did you know there's a whole world on the back of a sloth?  https://t.co/wRWmXa7j4R,55,@BBC
0.8268,Sun Jun 24 11:04:03 +0000 2018,0.688,0.0,0.312,"🥑🥕🌞 These summery vegan dishes are perfect for when it's hot (and still delicious when it's not!) 

👉… https://t.co/n8Nra5f9Jl",56,@BBC
0.2942,Sun Jun 24 10:52:39 +0000 2018,0.897,0.0,0.103,"RT @BBCWorld: ""At last!""

Saudi Arabia becomes the last country in the world to allow women to drive. https://t.co/vfOqNTBk9o https://t.co/…",57,@BBC
0.3612,Sun Jun 24 10:03:02 +0000 2018,0.783,0.0,0.217,"Getting ready for #ENG v #PAN like... ️⚽️🏆💪 @JKCorden #WorldCup 

https://t.co/EbID4RxLuE",58,@BBC
0.6269,Sun Jun 24 09:33:12 +0000 2018,0.745,0.0,0.255,"RT @BBC6Music: Ah, it seems so peaceful @GlastoFest this weekend. (via @bbcsomerset)  https://t.co/JzF0sbDEEh",59,@BBC
0.34,Sun Jun 24 09:04:05 +0000 2018,0.882,0.0,0.118,"Today, England play their first ever match against #WorldCup debutants Panama. 🦁🦁🦁

World Cup 2018: #ENG v #PAN | 1… https://t.co/rZLcc8qfZ8",60,@BBC
